[0, 'smartBulb', 'G', 4]
[5, 'smartBulb', 'G', 6]
[5, 'smartBulb', 'G', 8]
[8, 'doorSensor', 'G', 9]
[8, 'doorSensor', 'G', 11]
[11, 'doorSensor', 'G', 12]
[14, 'doorSensor', 'G', 15]
[14, 'doorSensor', 'G', 17]
[9, 'motionSensor', 'G', 18]
[10, 'smartBulb', 'G', 19]
[12, 'motionSensor', 'G', 20]
[17, 'doorSensor', 'G', 21]
[20, 'doorSensor', 'G', 22]
[20, 'doorSensor', 'G', 24]
[10, 'smartBulb', 'G', 26]
[29, 'smartOutlet', 'G', 30]
[20, 'doorSensor', 'G', 32]
[12, 'motionSensor', 'G', 34]
[20, 'doorSensor', 'G', 36]
[12, 'motionSensor', 'G', 38]
[20, 'doorSensor', 'G', 40]
[12, 'motionSensor', 'G', 42]
[10, 'smartBulb', 'G', 44]
[20, 'doorSensor', 'G', 46]
[12, 'motionSensor', 'G', 48]
[49, 'tempSensor', 'G', 50]
[54, 'smartBulb', 'G', 55]
[20, 'doorSensor', 'G', 57]
[12, 'motionSensor', 'G', 59]
[20, 'doorSensor', 'G', 61]
[12, 'motionSensor', 'G', 63]
[20, 'doorSensor', 'G', 66]
[12, 'motionSensor', 'G', 68]
[29, 'smartOutlet', 'G', 70]
[20, 'doorSensor', 'G', 72]
[29, 'smartOutlet', 'G', 74]
[57, 'smartBulb', 'G', 75]
[57, 'smartBulb', 'G', 77]
[23, 'doorSensor', 'G', 78]
[26, 'doorSensor', 'G', 79]
[26, 'doorSensor', 'G', 81]
[29, 'doorSensor', 'G', 82]
[32, 'doorSensor', 'G', 83]
[32, 'doorSensor', 'G', 85]
[19, 'motionSensor', 'G', 86]
[60, 'smartBulb', 'G', 87]
